Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,District of Columbia,Millions of current dollars,52503.6,54815.3,58819.2,61092.9,65442.9,69919.5,73957.1,80140.1,84867.6,88125,93785.4,99496.5,100446,106146.9,109730.4,112157,114540.1,119414.6,124604.7,129648.6,133243.5,139722.5,143990.8,144720,153670.5,
Private industries,District of Columbia,Millions of current dollars,31830.9,34166.6,37123.2,39203.6,42123.4,44601.6,47220.8,51908.1,54714.5,57557.8,62263.3,66051.1,64719.8,67777.5,70348.6,72865.7,75125.8,78872.9,83238.9,86789.2,89283.2,93570.9,97400.5,96185.9,103275.5,
"Agriculture, forestry, fishing and hunting",District of Columbia,Millions of current dollars,0.7,0.9,0.9,1,0.7,0.6,0.6,0.7,0.6,0.8,0.3,0.1,0.1,0.3,0.5,0.6,0.6,0.5,0.7,1.1,1.7,1.6,3.1,2.5,6.0,
Farms,District of Columbia,Millions of current dollars,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,
"Forestry, fishing, and related activities",District of Columbia,Millions of current dollars,0.7,0.9,0.9,1,0.7,0.6,0.6,0.7,0.6,0.8,0.3,0.1,0.1,0.3,0.5,0.6,0.6,0.5,0.7,1.1,1.7,1.6,3.1,2.5,6.0,
"Mining, quarrying, and oil and gas extraction",District of Columbia,Millions of current dollars,12.9,13.9,17.4,21.4,17.9,17.9,11.9,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,
Oil and gas extraction,District of Columbia,Millions of current dollars,8.8,11.4,13.1,18,14,16.8,11.3,5.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,
Mining (except oil and gas),District of Columbia,Millions of current dollars,4.1,2.5,3,2.1,2.5,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,
Support activities for mining,District of Columbia,Millions of current dollars,0,0,1.3,1.3,1.4,0.7,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,
Utilities,District of Columbia,Millions of current dollars,607.4,608.8,705.5,763.4,758.9,756.9,820.5,878.2,1000.7,1107,1203.6,1260.4,1435.6,1503.3,1372.6,1213.5,1196,1193.9,1222.2,1209.8,1250,1419.1,1411.2,1511.2,1756.6,
Construction,District of Columbia,Millions of current dollars,446.4,511.6,572.2,714,818.4,991.7,1022.5,1061.1,1073.6,1052.7,1053.5,1095.1,994.2,961.2,1097.6,1362.8,1442.4,1491.3,1478.4,1455.8,1666.5,1760.3,1875.8,1785.1,1843.7,
Manufacturing,District of Columbia,Millions of current dollars,291,306.9,272.6,282.3,297.4,282.8,293.7,327.9,285.8,265.4,263.6,251.1,251.5,240,281.2,227.9,239.9,214.8,247.7,272.4,283,283.4,273,283.8,330.3,
