Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,Illinois,Millions of current dollars,415534.8,436567.1,460331.1,487014.6,501552.8,514361.1,533022.5,563060.8,589811.8,624242.9,650145.2,654657.5,649862.7,666404.8,692880.8,726399.1,741121.5,771356.1,799930.5,807043.2,824913.4,865661.0,889540.1,856942.9,945673.8,
Private industries,Illinois,Millions of current dollars,374161.3,393469,414934.8,439131.3,449295.2,458727.1,475358.1,502790.4,527232.6,559198.2,583573,585815.6,578872.7,591795.4,618710.4,651576.9,663556.7,692863.1,720639,727841.6,743551.1,782778.1,804262.1,770307.2,855476.6,
"Agriculture, forestry, fishing and hunting",Illinois,Millions of current dollars,3702,2797.6,1650.9,2154.5,2084.3,2468.2,3353.2,4970.7,2493.2,3554.2,5032,6583.5,4781.4,4791.4,7744,5894.1,10838.5,7680.8,4343.2,5769.4,5830.2,6385.1,4566.6,5853.7,10277.5,
Farms,Illinois,Millions of current dollars,3494.4,2575.6,1437.6,1924.8,1840.7,2238.2,3126.2,4766.8,2267.1,3264.8,4736.5,6274.7,4492.2,4472.5,7430,5547.6,10517.5,7275.2,3912.8,5337.4,5387.9,5935.8,4090.4,5330.4,9729.7,
"Forestry, fishing, and related activities",Illinois,Millions of current dollars,207.5,222,213.3,229.7,243.6,230,227.1,203.9,226.1,289.4,295.5,308.7,289.2,318.9,314,346.4,321,405.7,430.4,432,442.3,449.3,476.2,523.3,547.8,
"Mining, quarrying, and oil and gas extraction",Illinois,Millions of current dollars,1057.3,1203.4,1375.7,1170.8,1249.3,1202.8,1251.3,1362.1,1636.6,1867.7,2043.1,2047.5,2069.7,2037.3,2100.5,2334.7,2339.7,2298.9,2195.7,1742.9,1965.8,2129.9,1795.3,1452.3,1227.4,
Oil and gas extraction,Illinois,Millions of current dollars,57.5,41.7,50.1,53.7,55.4,80.4,88.5,129,145.1,155.7,156.8,223.7,160.9,192.8,225.7,277.4,257.8,193.3,135.8,120.6,146.2,161.3,144.2,153.3,187.1,
Mining (except oil and gas),Illinois,Millions of current dollars,941.1,1109.2,1277.2,1060,1113.8,1062.3,1101.3,1158.3,1402.9,1583,1744.6,1631.3,1745.8,1666.9,1664.6,1815.5,1864,1877.7,1891,1521.3,1716.6,1862.8,1529.6,1217.2,947.3,
Support activities for mining,Illinois,Millions of current dollars,58.6,52.5,48.4,57.1,80.1,60.1,61.5,74.9,88.6,129,141.8,192.6,163,177.6,210.2,241.8,217.9,227.9,168.8,101,103.1,105.8,121.5,81.8,93.0,
Utilities,Illinois,Millions of current dollars,9351.6,8914.1,10174.4,9914.6,9995.9,9458.9,9272.2,10224.1,10100,10651.7,10480.6,11148.7,11296,12304.5,12773.5,12140.7,12206.9,13292.4,13186.5,13115.2,13564.7,14137.1,14929.7,15424.8,17056.8,
Construction,Illinois,Millions of current dollars,16528.2,17855.7,20122.7,22037,23138.3,23723.3,25202.2,27093.5,29155.4,30271.1,30580.6,28542.7,23247.3,21733.6,21243.2,20342.4,23208.2,24938.9,27205.8,27967.2,29203.7,28905.9,30170.3,29102,30627.9,
Manufacturing,Illinois,Millions of current dollars,70753.3,72721.7,73351.8,76670.5,74170.1,70519.6,73570.1,77899.6,80170.2,82710.5,85193.8,80757.1,82853.9,86085,94499.9,103715.2,97489.1,101148,101264.8,98886.7,102139,111448.8,111315.4,102947.2,114728.9,
Durable goods manufacturing,Illinois,Millions of current dollars,42410.9,43188.5,42662.2,44145.6,40092.3,38783.3,39444.2,43069.8,44945.3,47784.1,49044.6,48007.6,42408,46418,50422,54986.3,52163.6,51472.5,50691.4,49666,50068.9,53161.7,54669.2,50438.8,53359.8,
Wood product manufacturing,Illinois,Millions of current dollars,454.1,467.3,520.2,513.2,527.9,519.9,596,441.8,515,511.9,515.6,512.9,435.8,442.9,451.2,425.6,514.3,455.8,546.8,485.3,485.9,585.7,606.9,695.7,753.5,
Nonmetallic mineral product manufacturing,Illinois,Millions of current dollars,1603.3,1585,1705.8,1640.1,1641.8,1543.9,1738.2,1561.1,1654.1,1665.8,1502.1,1465.5,1466.2,1423.6,1553.6,1709.3,1808.8,1768.1,2019.3,2291.3,2371,2428.1,2329.8,2475.4,2649.0,
Primary metal manufacturing,Illinois,Millions of current dollars,2885.8,2812.6,2626.8,2873.3,1960.9,1919.5,2045.7,3714,3669.3,3434.8,2714.7,3485.3,1718.6,1841.1,2534.1,2689.8,2444.3,2552,2050.7,2093,2087.2,2514.1,2368.1,2028.2,2981.3,
Fabricated metal product manufacturing,Illinois,Millions of current dollars,8894.1,8795.4,9421.2,9776.2,8844.1,8405.7,8535.3,8989.8,9163.9,9162.4,9688.4,9112,8300.9,8598.6,8919.8,9609.2,9457.9,9407.8,9950.4,9836.5,10260.2,10469.3,10453.8,9781.5,10622.8,
Machinery manufacturing,Illinois,Millions of current dollars,10770.6,12245.6,11102.8,10050.2,9924.2,8971,9065.6,10026.8,11437.5,12887.3,14312.2,14537.9,13993.9,14941.4,18163.2,21849.1,17155.4,17589.7,15448.3,13570.5,12955.4,14343.3,14500.5,12803.9,13234.0,
Computer and electronic product manufacturing,Illinois,Millions of current dollars,6671,5961.4,5381.3,7121,6025.7,4858.4,5912.5,6455.3,6765.5,6635.6,7309.9,6573.6,6565.9,7517.2,7011.3,5478.2,6791.8,5729.8,6065.3,5597.8,5970.6,6943.5,7747,7262.5,7514.3,
"Electrical equipment, appliance, and component manufacturing",Illinois,Millions of current dollars,3108.1,2654,2830.2,2874.1,2632.7,3103.3,3139.5,2934.3,2938.6,3598.1,3416.6,3620.1,3079.6,3008.2,2846.3,3136.4,3681.8,3413.4,4046.5,3748.1,4128.8,4138.2,3956.1,3912.8,4192.6,
