,United States *,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming,0
Unit,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,Millions of current dollars,
,8577552,104811.9,25810.8,132281,59846.3,1071117,136898.7,138331.8,33353.4,52503.6,401535.3,242540.8,37707.4,29496.9,415534.8,170431.9,82720.4,74662.3,104546.2,116313.2,30618.4,159372.1,237267.4,299817.7,156351.4,58352.7,163175.6,19290.4,49819.2,60259.1,38206.6,307817.1,52475.6,718814.3,233934.9,15760.8,343430.3,79044.4,100914.8,356988,28928.8,97425,19031.4,154382.1,610157.3,57684,15454.7,215101.7,193825.9,38777.5,153431.7,14654.5,
,9062817,110212,24227.5,143302.6,62396.7,1147520.4,150330,145475.5,37106,54815.3,429138.4,265347.2,37622.9,31059.8,436567.1,184359.8,84644,78382,109382.3,120198.1,32156.2,169982.1,249299,312688.1,166904.8,60940.4,169483.4,20429.1,51822.1,65114.2,40554,319861.3,50658.7,745502.4,246890.4,16816.6,361638.1,81196.9,105146.8,373748.5,30818.5,103456.3,20228.1,167394.6,645142.6,62296.1,16080.7,231384,209741.1,40014.6,162609.3,14840.2,
,9631172,115680.1,24744.3,155755.8,66811.3,1241899.7,163763.3,152287.5,40345.1,58819.2,458058.9,289187.9,38990.6,34239.9,460331.1,193147.3,87782.4,81883.8,115106.8,125807.3,34413.2,180261.6,264644.4,338312.4,175759.3,63879,177738,20812.2,53685.2,71595.9,41955.2,336064.9,53017.3,795230,265375.7,17067.2,376465.2,84223.9,107621.5,390916.8,32267.2,110241.7,21078.7,176281.9,679870.3,66019.3,17176.9,249801.1,229797.9,41714.3,172224.1,15679.7,
,10250952,119851.7,26806.6,165110.7,68678.5,1356975.4,180063.2,165614.3,43451.3,61092.9,490429.8,305572,41096.8,38083.1,487014.6,203801.1,93112,86099,114169.2,132640.8,36890.3,192021.4,288791,352152.4,191515,65673.1,186650,21876.7,56527.5,76833.1,45342,361005.4,55105,841181.3,278008.5,18100.1,392277.2,91093.9,117154.6,409159.9,34466.8,115320.6,22743.3,182247.2,738677,70295.9,18341.1,268470.9,237378.2,42495.6,180427.3,17152.5,
,10581929,122915.5,28494.1,171909.6,70616.7,1375761.3,186695.8,171216.6,46096.1,65442.9,519058.6,317475.5,42585.4,37489,501552.8,205470.9,94837.8,88883.6,117647.9,137901.2,38605.7,205981,296868.7,349885.8,196006.1,67174,190657.1,22847.6,59607.2,80429.2,46817.5,373698,55789.7,878346.5,288069.5,18889.1,396944.5,97059.6,116963.6,427108.6,35862.8,119478.1,23412.1,186441.3,773375.5,73057.6,19323.2,285635.9,238418.6,43973.3,188163.1,18708.3,
,10929108,127505,29756.8,180522.3,74113.9,1418429.6,190019,173248.3,45508.3,69919.5,553010.3,327051.3,44644.2,38673.2,514361.1,212837.8,98557,91584.2,122435.3,139800.9,40466.2,217837.1,301836.4,363660.8,203713.8,69259.9,197557.7,23942.1,61417.3,85008.7,49059.9,386132.5,57808.3,890258.1,297846.4,20194.7,411034.5,99479.2,120665.5,440971.7,37809.2,124863.9,26322.1,195764.3,789817.6,75796.9,20273,295355.7,245978.5,45580.8,194658.8,19165.6,
,11456450,134152.6,32037.9,193634.9,78695.1,1497918.7,196126.5,178702.2,47686.1,73957.1,590483.1,342576.2,48166.1,40490.6,533022.5,225442.7,105123.3,95359.9,127982.2,155092.4,42315.2,228959.3,311188.6,374174.2,215721.8,73961.9,205588.5,25714.9,66402.1,90633.6,51637.6,400984.7,62651.1,912474.6,310388.9,22061.1,423780.2,105713.5,126671.5,460270.6,39638,131566.5,27216.1,205126.4,833342.3,78945.4,21293.2,311665.7,255370.2,47039.9,203339.2,21193.6,
,12217196,147715.2,35302.4,206541.1,85199.6,1588177.4,204167.2,195354.9,51353.7,80140.1,646630.6,364782,52353.5,44327.9,563060.8,239743.6,117188.5,99083,135529.3,171006.1,45210,245124.5,326737.1,385621.1,231267.1,77998,217084.2,28160.5,70469.2,103231,54918.2,414848.6,69956.6,967151.9,329878.9,23259,446225.3,113873.8,135646.8,487306.1,42363.9,136982,29271.3,219327.9,913444.4,86081.9,22938.2,332115.1,268378.3,49741.4,215537.1,23429.4,
,13039197,158846.8,40356.6,227915.9,90887.7,1698560.4,220783.7,205214.6,52153.5,84867.6,705851.9,389537.7,57369.4,48642.8,589811.8,248170.5,123190.9,105526.3,145011.1,199594.7,47078.5,262100,341993.2,400268.9,245380.5,82448.5,227971.3,30875.8,74564.5,116166.2,56952.6,435736.7,73911.4,1016037.5,355469.7,24700,468891.6,125081.6,143507.8,511731.4,44374.1,145403.6,30997.4,231633.5,995252.4,95355.1,23608.6,358069.7,293676,53492.5,227297,27576.3,
