Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,Kentucky,Millions of current dollars,104546.2,109382.3,115106.8,114169.2,117647.9,122435.3,127982.2,135529.3,145011.1,153408.4,157163.7,159883.8,157479.8,166408.7,171586.9,178143.7,184524.4,187983.8,193413.1,196484.9,201872.2,208558.6,218494.7,216865.6,237182.0,
Private industries,Kentucky,Millions of current dollars,90478.5,94965,100028.2,98759,101566.3,105266,110009.7,116763.1,124624.9,131550.1,134103.3,135182.4,132700.6,140001,145191.9,151449.4,157402.3,160750.6,165776.4,169165.6,174597.6,180357.0,189624,187356.7,206324.6,
"Agriculture, forestry, fishing and hunting",Kentucky,Millions of current dollars,2097.9,1925.4,1652.1,2207.1,1900.8,1691.2,1830.9,2549.3,2253.5,2425.4,2117.7,1525.6,1895.6,1564.9,2151.7,2106.8,3891.4,3110.1,2911.3,2489.9,2961.3,2785.1,2701.8,2443.2,3566.4,
Farms,Kentucky,Millions of current dollars,1794.9,1618.8,1326.4,1858.6,1569.1,1374.9,1488.9,2186.7,1887.9,1992.8,1706.4,1112.6,1479.7,1159.5,1752.2,1703.8,3490.3,2671.5,2439.1,2001.8,2477.2,2285.9,2174.3,1875.5,3005.9,
"Forestry, fishing, and related activities",Kentucky,Millions of current dollars,303,306.6,325.6,348.4,331.7,316.3,342.1,362.6,365.6,432.6,411.3,413,415.9,405.4,399.4,402.9,401.1,438.6,472.2,488.1,484,499.2,527.5,567.8,560.5,
"Mining, quarrying, and oil and gas extraction",Kentucky,Millions of current dollars,2377.5,2595.6,2410.3,2384.7,2755.3,2514.1,2529.8,2710.1,3634.5,4418.6,4772.5,5262.6,5285.6,5530,6161.2,4610.4,4151.2,3581.4,2765.9,2093.5,2142,2191.7,1907.1,1525.7,1216.5,
Oil and gas extraction,Kentucky,Millions of current dollars,50.9,43.8,39.3,69.3,111.5,112.4,150,196,264,386,363.6,511.1,299.6,378.9,385.8,306.1,299.6,305.9,176,149,170,157.1,134.2,124.2,171.3,
Mining (except oil and gas),Kentucky,Millions of current dollars,2260.5,2492.9,2327,2263.9,2574.4,2325.5,2284.2,2391.3,3193.7,3758.4,4082.9,4361.1,4642.6,4790.2,5379.6,3931.2,3502,2897.3,2329.1,1794.8,1801.2,1860.3,1590.6,1255.5,901.5,
Support activities for mining,Kentucky,Millions of current dollars,66,58.9,44.1,51.5,69.4,76.3,95.6,122.8,176.8,274.2,325.9,390.4,343.4,361,395.9,373.1,349.6,378.2,260.8,149.7,170.7,174.3,182.3,146,143.6,
Utilities,Kentucky,Millions of current dollars,2160.4,2002,2146.2,2159.5,2051,1915.1,1927.9,2102.7,2127,2393.7,2479.6,2544.5,2918.7,3266.5,3400.2,3375.7,3511.5,3609.4,3491.3,3621.5,3583.9,3565.6,3695.1,3644.2,4270.9,
Construction,Kentucky,Millions of current dollars,4303.5,4662.6,5001.3,5266.3,5489,5338.4,5756.2,6239.1,6700.1,6712.3,7010,6834.5,6412.6,5835.9,5894.1,6342.7,6381.9,6823.5,7151.8,7225.3,7445.3,7632.7,8227,8223.2,8614.5,
Manufacturing,Kentucky,Millions of current dollars,27914.5,28743.9,30105.8,24517.3,24075.7,25011.7,25716.5,26532.7,27466,30240.2,28743.6,27548.9,24488.8,28260.8,28737.9,32817.5,34660.1,34823.3,35298.5,34864.8,36833.4,37129.9,39769.4,37723.1,41193.0,
Durable goods manufacturing,Kentucky,Millions of current dollars,16219.5,17012.3,18235.2,14219.4,13911.8,14366.9,15306.7,16080,16644.6,17976.2,16459.2,14756.8,10983.3,14491.7,15085.3,16692,17416.7,18872.5,20284.7,20311.6,21095.3,20545.2,22103.4,20103.7,22122.2,
Wood product manufacturing,Kentucky,Millions of current dollars,416.5,489,458.8,509.7,456.3,525.4,587.1,572.2,610.3,631.7,567.9,585.2,493.4,513.3,532.4,569.7,604.1,618.9,655.2,685,750.2,756.8,772.8,776.9,814.6,
Nonmetallic mineral product manufacturing,Kentucky,Millions of current dollars,718.2,751.1,726.4,727.8,743,694.8,793.2,1006.3,985.8,840.4,779.6,773.9,567.5,602.1,607.8,754.4,894.2,840.5,894.5,910.2,1138.2,1074.5,1047.5,1035.4,1123.6,
Primary metal manufacturing,Kentucky,Millions of current dollars,1423.1,1456.8,1356.9,1248.6,1202,1862.3,2152.8,2143.3,2167.5,3183,2176.2,1992.2,1069.2,1549.4,1743.1,2027.6,2338.9,2575.3,2649.5,2521.4,2562.4,2329.1,2484.8,1630.5,2319.9,
Fabricated metal product manufacturing,Kentucky,Millions of current dollars,1449,1455.7,1584.8,1756.9,1504,1591,1509.9,1557,1535.7,1593.2,1672.7,1627.3,1457,1578.4,1701.7,1810.3,1894.6,1953,2109.3,2012.1,2221.2,2412.7,2509.3,2302.6,2500.3,
Machinery manufacturing,Kentucky,Millions of current dollars,1517.6,1444.8,1554.8,1378.7,1281.6,1154.1,1144.4,1249.8,1489.4,1632.9,1659.7,1684,1565.4,1637.9,1947.8,1848.7,1852.7,2012.3,2118.4,1802.5,2166,2069.7,2410.1,2297.7,2572.7,
Computer and electronic product manufacturing,Kentucky,Millions of current dollars,744.4,617,548.3,545.6,812.3,1171.2,846.3,763.8,801.8,829.6,990.6,669.4,758,937.9,1098.4,1150.6,1021.1,1279.3,1266.5,1469.8,1094.9,871.6,918.1,799.8,778.2,
"Electrical equipment, appliance, and component manufacturing",Kentucky,Millions of current dollars,1215.2,1161.6,1129.9,1140.8,1047.9,1164.9,1116.7,903,864.5,1027.5,1243.4,1673.4,1354.1,1395.8,1296.2,1438.5,1707.4,1435,1605.9,1351.1,1630.8,2027.4,2026.7,2217,2564.4,
"Motor vehicles, bodies and trailers, and parts manufacturing",Kentucky,Millions of current dollars,7653.9,8625.4,9885.6,5880.7,5915.5,5295.8,6345.4,6948.8,7101.3,7160.7,6170.5,4466.8,2582.2,5057.3,5121.7,6063.7,5996.1,6974.7,7803.5,8253.4,8220.7,7803.2,8646.6,7773.8,8156.2,
Other transportation equipment manufacturing,Kentucky,Millions of current dollars,189.8,185.9,218.4,244.3,234.2,200.2,226.1,249.6,303.8,319.1,414.9,530.3,557.1,623.3,461,447,520.9,493.7,538.2,638.1,630.6,562.2,597.2,541.9,510.6,
Furniture and related product manufacturing,Kentucky,Millions of current dollars,292.5,291,337,362.1,319.1,290.5,235.9,311,325.4,323.4,300.2,259.9,242,231.5,221.1,224.4,254.7,294.5,307.2,285.5,295.2,294.1,265.6,308.6,323.6,
Miscellaneous manufacturing,Kentucky,Millions of current dollars,599.2,534.1,434.4,424.1,396.1,416.7,348.9,375.2,459.3,434.8,483.5,494.3,337.4,365,354,357.2,332,395.2,336.6,382.5,385,343.9,424.6,419.6,458.2,
Nondurable goods manufacturing,Kentucky,Millions of current dollars,11695.1,11731.6,11870.7,10298,10163.8,10644.8,10409.7,10452.8,10821.4,12264,12284.4,12792.1,13505.5,13769.1,13652.6,16125.4,17243.4,15950.8,15013.8,14553.3,15738.1,16584.8,17666,17619.3,19070.9,
Food and beverage and tobacco product manufacturing,Kentucky,Millions of current dollars,5338.7,5167.9,5224,3833.3,3788.3,3968.5,3672,3647,3804.3,4157.7,4593,4953.6,5609.4,5593.3,5781.7,6693.2,6820.9,7063.9,7099.5,7107.3,7590.4,7490.8,8328.8,9544,9787.4,
Textile mills and textile product mills,Kentucky,Millions of current dollars,180.5,230.9,250.7,233,198.7,192.1,129.4,128.9,106,108.1,114.6,116.5,103.6,99.7,93.4,116.9,142.4,166.2,185,179.7,186.2,161.6,150.3,152,159.2,
"Apparel, leather, and allied product manufacturing",Kentucky,Millions of current dollars,771.9,617.8,424.9,522.3,395.5,514.8,469.7,429.7,234.2,124.4,103.6,97.7,87.6,94.2,84.4,82.8,79.2,66.1,56.4,51.4,57.1,57.5,55.9,47.7,60.8,
Paper manufacturing,Kentucky,Millions of current dollars,968.2,1043.1,1094.3,1319.8,1254.3,1368.8,1271.3,1189.6,1152.1,1434.7,1345.8,1275.5,1640.5,1405.9,1233.9,1345.2,1340.5,1579.4,1477.9,1621.1,1192.8,1604.3,1294.1,1268.5,1314.3,
Printing and related support activities,Kentucky,Millions of current dollars,688.2,665.7,755.3,791.5,761.4,744.8,719.7,734.1,754.8,820.7,793.8,802.2,805.5,913.1,897.5,726.9,763.2,760.2,774.3,764.9,743,713.5,701.6,590.2,540.9,
Petroleum and coal products manufacturing,Kentucky,Millions of current dollars,507.7,542.1,352.1,443.5,736.1,569.2,681.7,1041.5,1254.5,1396.3,1394.1,1682,1408.2,1291.4,1395.7,2072.9,2870.1,2113.8,1715.8,845.6,1435.3,2392.7,1961.9,630.1,1318.2,
Chemical manufacturing,Kentucky,Millions of current dollars,2258.4,2375.6,2572.3,2005.6,1843.9,1951.2,2123.5,1938.2,2269.3,2901.2,2484,2673.4,2675.3,3242.9,3010,3746.2,3891.4,2856.8,2036.4,2232,2826,2382.3,3149.5,3490.2,3835.5,
