Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,Maryland,Millions of current dollars,159372.1,169982.1,180261.6,192021.4,205981,217837.1,228959.3,245124.5,262100,274145.3,282965.6,295400.2,299102.7,314728.3,326281.2,332523.5,340577.6,352761.3,369728.1,387733.4,400157,410812.2,420371.3,410931,443929.9,
Private industries,Maryland,Millions of current dollars,126503.3,135297.5,144131.9,153906,165938.5,174000.6,182879.2,196885.7,210818.4,219948,225909.6,235346.3,236334.6,248475.6,256995.1,262556,269064.6,278806.4,293284.6,309697.6,319723,328258.5,335793.3,322151.7,351173.4,
"Agriculture, forestry, fishing and hunting",Maryland,Millions of current dollars,606.3,618.5,619.8,691.7,712.7,541.9,622.5,877.9,790.2,778.1,784.2,852.7,831.7,796.8,943.8,1037.9,1245.9,1100.8,938.3,860.5,1036.8,898.5,940.7,671.9,1148.7,
Farms,Maryland,Millions of current dollars,532.3,540.4,534.8,597.8,617.2,447.3,528.3,762.5,673.2,634.5,660.1,733.9,721.6,683.2,836.6,926,1133.8,978.3,805.1,719.9,889.7,754.4,792.8,535.9,1007.3,
"Forestry, fishing, and related activities",Maryland,Millions of current dollars,74,78.1,85,93.9,95.5,94.6,94.2,115.4,117,143.7,124.2,118.8,110.1,113.6,107.2,112,112.1,122.5,133.3,140.7,147.1,144.1,147.9,136,141.4,
"Mining, quarrying, and oil and gas extraction",Maryland,Millions of current dollars,143.6,158,152.3,173.7,186,193,205,252.2,302.8,367.1,393,351.5,198.3,386.3,316.6,292.5,243.1,237.6,251.9,224.4,262.5,242.5,297.7,264.1,247.4,
Oil and gas extraction,Maryland,Millions of current dollars,1.3,1.2,1.3,2.5,14.8,7.6,8.1,3.9,3.2,1.8,0.6,0.5,0.4,0.4,0.3,0.2,0.7,2,2.1,2.4,0.7,0.7,1.1,3.3,8.2,
Mining (except oil and gas),Maryland,Millions of current dollars,140.3,152.8,146,164.2,163.7,177.7,188.3,235.7,277.2,331.1,357.3,311.1,159.4,335.4,248.6,218.7,175.2,167.4,191.9,172.5,212.5,207.3,269.6,230.2,207.3,
Support activities for mining,Maryland,Millions of current dollars,2,4,5.1,7,7.5,7.6,8.6,12.6,22.4,34.2,35.1,39.9,38.5,50.4,67.8,73.6,67.2,68.2,58,49.5,49.3,34.5,27.1,30.6,31.8,
Utilities,Maryland,Millions of current dollars,3129.3,2965.1,3275.5,3172.5,3088.5,2935.3,3284.2,3916.6,3677.4,4410.6,5330.6,5234,5715.5,6762,6780.3,6110.8,6009.7,6221.5,6726.3,6865.7,7291,7410.7,7110.7,6692.6,7471.1,
Construction,Maryland,Millions of current dollars,7949,8618.1,9508.5,10657.1,11690.4,11946.9,12614.2,14370.7,15368.3,16084.8,16281.9,15486.5,14104.5,13217.6,13530.8,14168.5,15124.7,16743.9,18403.5,20927,23171.1,23574.6,24614.4,24300.3,24940.8,
Manufacturing,Maryland,Millions of current dollars,13796.4,13936.5,14158.7,13753.4,14855.5,15433.7,14464.7,15258.4,14941.3,15923.2,16877.4,17499.1,18872.1,19698.1,19644.7,18204.7,19445,19475.9,20056.3,21533.7,22170.7,23200.2,24516.6,24635.5,26409.6,
Durable goods manufacturing,Maryland,Millions of current dollars,7286,7276.4,6648.8,6207.9,6437.3,7219.7,7082.7,7487.1,7327.7,7439.8,7691.5,8950.8,8782.5,8908.1,9254.5,8427.2,8783.6,8746.8,9018.5,9921.2,10472.2,11835.6,12572.4,12058.9,12311.5,
Wood product manufacturing,Maryland,Millions of current dollars,153.5,163,167.6,195.1,171.9,269.6,223.5,235.2,251.3,263.6,227.6,197.7,203.2,163.6,188.3,148.4,163.3,190.4,201,224.6,276,305.6,327.9,394.5,437.8,
