Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,Mississippi,Millions of current dollars,58352.7,60940.4,63879,65673.1,67174,69259.9,73961.9,77998,82448.5,87099.5,91191.4,94514.5,91792.2,93943.1,96218,100448.4,102371,104300.3,105914.6,107291.4,109600.8,112201.7,114234.4,115123.4,127307.7,
Private industries,Mississippi,Millions of current dollars,49172.2,51230.2,53482,54682.7,55750.6,57131,61014.8,64443,68189.7,72685.8,75411.2,77787.1,74533.6,76708.2,78905.6,83031.9,84589.2,86070.3,87227.9,88122.4,90095.3,92528.5,93980.6,94718.5,106271.0,
"Agriculture, forestry, fishing and hunting",Mississippi,Millions of current dollars,1839.4,1692.6,1586.2,1420.3,1660.8,1277.3,1846.4,2656.8,2236.7,1568.3,1905.2,1694.4,1641.1,1987.7,1779.4,1894,3280.7,2523.3,2192.2,1929.5,2612.4,2462.1,2040.9,1770.6,2789.9,
Farms,Mississippi,Millions of current dollars,1407.2,1264.4,1122.1,992.4,1235,846.1,1358.6,2133.3,1718.2,1042.7,1429.7,1252.8,1224.8,1527,1313.8,1405,2797.5,2005.7,1643.9,1372.3,2055.6,1845.5,1440.4,1135.7,2166.8,
"Forestry, fishing, and related activities",Mississippi,Millions of current dollars,432.2,428.2,464,427.9,425.9,431.2,487.8,523.5,518.5,525.6,475.5,441.6,416.3,460.7,465.6,489,483.3,517.7,548.3,557.2,556.8,616.6,600.5,634.9,623.1,
"Mining, quarrying, and oil and gas extraction",Mississippi,Millions of current dollars,552.3,438.7,398.3,503.7,626.3,550.3,695.7,927.7,947.6,1289.8,1699.3,2110,1491.9,1526.1,1742.2,1734.4,1685,1610.3,1016.9,749.9,898.1,1040.9,972.2,763.2,945.0,
Oil and gas extraction,Mississippi,Millions of current dollars,307.6,170.6,171.7,237.7,238.6,235.1,349.2,497.3,480.1,625.7,904.9,1338.6,899.7,955.4,1141.6,1158,1101.5,969.6,532.2,403.3,420.7,437.1,343.9,273.2,591.5,
Mining (except oil and gas),Mississippi,Millions of current dollars,60.4,62.6,83.2,89.2,107.5,120.4,154.3,220,234.7,271.9,367.8,282.3,258.8,217.1,182.5,134.8,160.5,181.5,178.4,167.4,230.6,333.6,359.1,294.4,156.8,
Support activities for mining,Mississippi,Millions of current dollars,184.2,205.5,143.3,176.8,280.2,194.7,192.3,210.4,232.8,392.2,426.6,489.1,333.5,353.5,418.1,441.6,423,459.3,306.3,179.1,246.9,270.2,269.3,195.5,196.7,
Utilities,Mississippi,Millions of current dollars,1627,1572.7,1756,1770,1849,1792.7,1848,2101,2080.6,2350.3,2313.5,2416.5,2591.8,2880.3,2915.7,2874,2987.8,3161.1,3208.4,3152.5,3159,3200.0,3375.2,3440.8,3846.5,
Construction,Mississippi,Millions of current dollars,2444.3,2803.4,2891.7,3037.4,3032.4,3246.6,3346.8,3624.7,4255.9,5040.5,5458.2,5545.1,4870.6,4437.2,4349.6,4355.1,4345.3,4076.9,3751.9,3614.7,3472,3575.3,3744.2,3749.1,4004.0,
Manufacturing,Mississippi,Millions of current dollars,11773,11647.2,12066.3,11393,11018.8,10805.1,12416.6,12266.8,13239.5,14902.2,15447.3,15255.2,13425.3,14039.2,14624.5,16473.3,15177.3,16069.2,16394.1,16327.6,17046.1,17311.4,17095.9,16364.2,20126.2,
Durable goods manufacturing,Mississippi,Millions of current dollars,6542.2,6600.3,6828.2,6458.2,6114.6,6150.4,6812,7135.3,7449.9,8028.2,8675.4,8494.2,7113.4,8153.9,8059.6,8230.4,8707.8,8931.6,9362.2,9870.8,9645.6,9847.6,10061.3,10140.9,11302.2,
Wood product manufacturing,Mississippi,Millions of current dollars,990.5,934.2,980.8,767.6,775.7,716.9,850.1,1039.9,991.8,940.7,780.4,630.1,519,643.8,668.8,685.6,885.1,876.7,906.7,1047.6,901.6,955.1,800.5,1052.1,1449.5,
Nonmetallic mineral product manufacturing,Mississippi,Millions of current dollars,283.3,301.5,344.1,303.7,336.2,278.9,368.2,332.9,324.5,339.3,384.5,347.8,355.3,282,277,325.3,326.5,389.1,353.5,393.5,351.9,293.1,431.8,420.3,446.9,
Primary metal manufacturing,Mississippi,Millions of current dollars,239.1,225.1,238.8,302.3,253,214.8,172.5,187.7,233.9,315.9,813.2,823.8,709.8,544.3,740.8,579.9,463,527.4,554.4,574.9,623.7,691.0,717,760.4,837.9,
Fabricated metal product manufacturing,Mississippi,Millions of current dollars,830.2,753.4,815.3,771.8,871,826.4,738.1,813.4,800.5,834,907.1,882.3,808,705.5,746.8,728.9,784,773,772.8,852.3,815.8,784.5,849.4,820.2,880.4,
Machinery manufacturing,Mississippi,Millions of current dollars,696.7,900.4,827.3,740.6,742.3,807.3,901.1,887.7,870.6,1103.2,1175.3,1064.2,887,1790.6,1552.1,1578.2,1563.4,1255.4,1395,1312.9,1371.1,1537.7,1648,1610,1907.1,
Computer and electronic product manufacturing,Mississippi,Millions of current dollars,162.1,136.1,122.7,114.9,134.7,200.7,210.4,178.4,219.2,355.9,375.5,355.3,325.7,288.1,237.1,234.2,187.5,228.2,139.9,131.8,138.6,142.6,151.5,157.5,161.3,
"Electrical equipment, appliance, and component manufacturing",Mississippi,Millions of current dollars,862.5,712.8,726.8,730.5,651.4,607.7,583.8,453,597.2,832.1,1054.2,1078.6,793.1,568.6,652.9,674.9,726.3,797.1,840.1,809,896.3,832.5,774,656.8,654.9,
"Motor vehicles, bodies and trailers, and parts manufacturing",Mississippi,Millions of current dollars,656.4,647.5,540.1,535.1,437.2,455.3,914.5,1069.2,1213.4,1233.1,987.5,722.8,393.6,765.2,1133.5,1320.8,1461.1,1625.9,1850.6,2067.3,2061.7,1896.4,2031.2,1864.8,2098.2,
Other transportation equipment manufacturing,Mississippi,Millions of current dollars,474.7,608.5,743.6,645.9,448.2,601,648.3,677.7,779.4,720.9,841.1,1169.2,957.7,1349,905.8,1028.8,1219.6,1302.7,1275.2,1420.8,1377.5,1442.3,1381.5,1570.1,1579.3,
Furniture and related product manufacturing,Mississippi,Millions of current dollars,1062,1052.9,1194.3,1234.4,1218.9,1245.2,1206.9,1261.3,1223.3,1162.6,1105.3,1184.8,954.5,925.6,793.3,817.5,863.5,936.1,1081.4,1074.5,905,1050.1,1082.7,1014.3,1044.7,
Miscellaneous manufacturing,Mississippi,Millions of current dollars,284.7,327.9,294.5,311.4,245.8,196.2,218.1,234,195.9,190.4,251.1,235.2,409.6,291.3,351.3,256.4,227.8,219.9,192.6,186.1,202.3,222.4,193.5,214.4,241.9,
Nondurable goods manufacturing,Mississippi,Millions of current dollars,5230.7,5046.9,5238.1,4934.8,4904.2,4654.8,5604.6,5131.5,5789.6,6874,6772,6761,6312,5885.3,6564.9,8242.8,6469.6,7137.6,7031.9,6456.8,7400.6,7463.8,7034.5,6223.3,8824.0,
Food and beverage and tobacco product manufacturing,Mississippi,Millions of current dollars,1070.2,1006.1,1173.9,1065.4,1319.2,1197.6,1288,1220.2,1038.1,1362.3,1462.6,1559.4,1645.9,1367.6,1191.6,1401.7,1668.9,1626.7,1729.8,1637.6,1660.3,1476.4,1706.6,1880.4,1993.6,
Textile mills and textile product mills,Mississippi,Millions of current dollars,296.1,248.9,290.7,286.3,210.7,137.4,145.1,139.7,126.4,146.2,149.2,177.6,215.3,244.6,269.1,305,355,320.9,314.6,345,338.9,320.1,326.6,355.4,361.9,
"Apparel, leather, and allied product manufacturing",Mississippi,Millions of current dollars,578.5,517.6,451.7,392.9,312.3,312.9,167.9,184.5,145.5,105,122.1,111.6,86.1,58.3,49.2,55.1,56.7,60.1,72.2,93,94.7,95.9,96,83.8,95.6,
Paper manufacturing,Mississippi,Millions of current dollars,818.1,836.1,914,1007.4,799.7,719,788.2,758.6,635.2,647.8,729.8,575.3,660.8,716.3,657.1,704.4,641,648.2,714.6,640.5,659.5,749.9,680.7,714.8,699.2,
Printing and related support activities,Mississippi,Millions of current dollars,177.5,187.7,214.6,205.9,199.2,214.2,202.7,176.4,193.7,234.3,192.6,244.8,236.7,217.5,180.2,137.3,141,140.7,202.3,196.3,147.4,148.1,149.7,147,150.7,
Petroleum and coal products manufacturing,Mississippi,Millions of current dollars,828.6,715.1,281.7,184,161.9,106.9,934.2,671.2,1723.7,2499.6,2176.8,2267.6,1545,1081.6,1908.7,3414.1,992.2,1938.9,1804.5,1483.5,2339.1,2665.4,2309.6,1544.2,3902.1,
Chemical manufacturing,Mississippi,Millions of current dollars,868.2,863.4,1082.8,1053.6,1174.2,1244.7,1422.8,1273.8,1218.2,1215.2,1270.7,1180.7,1204.5,1357,1487.1,1458.8,1808.5,1640.2,1189.2,1265.4,1330.9,1305.3,965.3,915.8,986.4,
Plastics and rubber products manufacturing,Mississippi,Millions of current dollars,593.5,671.9,828.6,739.4,727.2,722.2,655.7,707.2,708.9,663.6,668,644.1,717.7,842.6,821.8,766.4,806.3,762,1004.7,795.6,829.7,702.7,800,581.9,634.5,
Wholesale trade,Mississippi,Millions of current dollars,3245.6,3486.3,3495.8,3621.2,3502.6,3529.1,3720.8,3985.8,4163.3,4453.1,4595.3,4678.7,4481.8,4691.2,4895.7,5168.3,5354.1,5431.6,5636.7,5606.8,5802.8,5973.6,6207.6,6113.4,6930.6,
Retail trade,Mississippi,Millions of current dollars,4945.3,5564.2,5670.6,5632.5,5804.3,5995.7,6407.8,6585.2,6984.5,7590.1,7345.6,7264.2,7126.1,7347.5,7506.3,7765.5,7942.6,8088.9,8181.6,8564.9,8625.4,8646.3,8915.4,9394.6,10827.2,
Transportation and warehousing,Mississippi,Millions of current dollars,1855.2,2085.7,2152.5,2242.6,2207.7,2246.3,2415.7,2634.4,2782.2,2962.3,3003.2,3135.8,2896.6,3031.8,3138,3233.5,3295.8,3335.7,3587.3,3631.5,3895.3,4375.1,4566.3,4624.4,5093.0,
Air transportation,Mississippi,Millions of current dollars,32.2,35.1,35.6,34.1,23.9,27,33.4,28.9,41.2,39.5,52.6,56.4,59.9,79.8,81.8,80.9,84.5,75,78.5,79.7,71.6,82.0,63.3,25.4,34.2,
Rail transportation,Mississippi,Millions of current dollars,171.9,191.8,188.7,207.6,177.9,170.6,192.6,207.9,235,266.5,271.5,311.6,268.6,281.7,308.3,278.7,352.6,381.8,376.6,340.7,359,388.0,382.9,362.7,393.1,
Water transportation,Mississippi,Millions of current dollars,28.8,38.1,29.8,37.3,53.6,34.4,64.5,59.8,58.1,107.6,136.9,169.2,180,177.8,172.4,154.9,198.6,201.1,222,200.1,182.4,190.7,193.8,168.4,183.6,
Truck transportation,Mississippi,Millions of current dollars,854.8,956,1074.6,1141.1,1107.3,1119.7,1179.5,1300.9,1385.2,1465.2,1430.6,1369.8,1165.8,1170.1,1264,1350,1288.5,1330.8,1452.7,1480.1,1638.9,1939.9,1999.6,1980.4,2113.0,
Transit and ground passenger transportation,Mississippi,Millions of current dollars,59.2,63.3,56.8,62.2,60.6,65.9,64.9,72.1,65.8,65.2,50.2,48.7,50.7,56.4,62.2,66.8,68.6,69.1,67.6,65,69,69.4,75.1,61.3,60.1,
Pipeline transportation,Mississippi,Millions of current dollars,70.6,118.1,109.2,74.5,88.6,106.3,106.2,112.4,119.4,127.4,156.9,189.1,178.8,197.8,183.5,198.7,192.9,186.4,193.7,199,196.8,198.0,202.3,209.2,223.3,
Other transportation and support activities,Mississippi,Millions of current dollars,369.9,369.6,343.6,363.2,380,390.9,403.1,451.2,454.4,469.8,441.1,480.3,489.8,553.7,567.5,587,590.4,559.5,611.8,603.8,632.5,668.2,786.1,861,978.0,
Warehousing and storage,Mississippi,Millions of current dollars,267.7,313.8,314.1,322.7,315.9,331.5,371.6,401.3,423,421,463.4,510.8,503,514.5,498.3,516.5,519.7,532,584.4,663.1,744.9,839.0,863.2,956.1,1107.7,
Information,Mississippi,Millions of current dollars,1568.4,1585.4,1570.2,1714.1,1710.3,1768.1,1762.7,1872.4,2007.8,1978.6,1929.6,2076.6,1969,1966.7,1890.9,1977.2,2203.8,2287.7,2454.5,2456,2356.4,2362.6,2381.8,2405.9,2622.9,
Publishing industries (except Internet),Mississippi,Millions of current dollars,174,178.1,208,170,184.7,223.4,241.5,270.9,291,273.9,338.6,333.3,308.9,276.7,254.1,262.7,270.4,313.3,261.7,265.5,281.1,314.4,271.9,280,334.6,
Motion picture and sound recording industries,Mississippi,Millions of current dollars,21,32.5,45.9,31,38,50.5,50.6,92.5,43.9,48.4,58.5,60.7,57.6,58.6,43.2,44.1,55.3,93,72.6,82.7,62.7,59.3,52.6,43.3,83.0,
Broadcasting (except Internet) and telecommunications,Mississippi,Millions of current dollars,1351.1,1352.3,1301.6,1506.1,1468.6,1409.7,1394,1446.5,1608.8,1572.3,1473.2,1583.4,1515.7,1517.4,1452.1,1493.9,1689,1670.4,1859.3,1898.3,1841,1803.3,1883.5,1903.7,2005.8,
"Data processing, hosting, and other information services",Mississippi,Millions of current dollars,22.3,22.6,14.8,6.9,19,84.5,76.8,62.4,64.2,84,59.2,99.2,86.8,114,141.5,176.5,189,211.1,260.9,209.4,171.6,185.6,173.8,178.9,199.4,
"Finance, insurance, real estate, rental, and leasing",Mississippi,Millions of current dollars,7465.2,7951.3,8697.6,9380.5,9935.8,10718.1,10891.2,11037.9,12193.7,12391.1,12303,13048.3,13520.3,13529.9,14354.4,15055.7,15492.2,16291.4,17033.7,17737.2,17397.7,17953.0,18248.8,20071,20685.2,
