Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,Montana,Millions of current dollars,19290.4,20429.1,20812.2,21876.7,22847.6,23942.1,25714.9,28160.5,30875.8,33166.1,36233.2,37224.9,36187.8,38336.1,40995.1,42340.9,43687.9,45177.2,46604.1,45490.9,48533.9,50916.9,51925.4,52355.8,58699.8,
Private industries,Montana,Millions of current dollars,16017.9,17022.8,17252.8,18060.8,18908.7,19775.7,21214.1,23450.3,25970.9,27957.8,30706.3,31436,30203.9,32170.5,34691.9,35911.5,37276.4,38536.6,39758.9,38377,41228.3,43531.6,44279,44405.4,50450.8,
"Agriculture, forestry, fishing and hunting",Montana,Millions of current dollars,837.2,782.2,740.8,664,707.8,759.2,880.7,1217.1,1202.9,927.9,1268.2,1388.1,1209.8,1426.8,1628.7,1826.3,2129.7,2064,1981.3,1804.8,1397.9,1709.5,1796,1726.1,1710.6,
Farms,Montana,Millions of current dollars,675.8,614,575.4,492.9,551.9,592.9,703.6,1037.2,1024.8,725.6,1068.4,1190.6,1032.2,1245.1,1438,1615,1914.4,1829.5,1725.9,1546.5,1124.1,1430.5,1516.7,1425.2,1393.3,
"Forestry, fishing, and related activities",Montana,Millions of current dollars,161.5,168.2,165.5,171.1,155.9,166.3,177.1,179.8,178.1,202.3,199.9,197.4,177.6,181.7,190.7,211.3,215.3,234.4,255.4,258.3,273.8,279.0,279.4,301,317.3,
"Mining, quarrying, and oil and gas extraction",Montana,Millions of current dollars,658.8,644.2,660.5,735.4,781.1,721.5,811.4,1023.3,1441.3,1793.4,2070.2,2409.6,1971.4,2300.1,2721.6,2704.3,2815,2668.8,1944.3,1398.1,1699.7,1842.1,1724.8,1752.6,1883.4,
Oil and gas extraction,Montana,Millions of current dollars,59.1,42.7,52.3,90.9,105.6,131.1,169.3,262.7,449.8,523.8,564,763.3,487.8,547.8,647.2,776.9,911.8,849,437.5,363.3,427,462.4,376.1,283.4,668.0,
Mining (except oil and gas),Montana,Millions of current dollars,523.7,540.5,562.4,584.1,564.5,498.4,540.5,601.2,779.8,922.1,1174.1,1242,1246,1458.8,1673.1,1420.9,1428,1314,1201.4,886.7,1095.4,1133.4,1123.3,1264.9,1013.1,
Support activities for mining,Montana,Millions of current dollars,76.1,61,45.8,60.4,111,91.9,101.6,159.4,211.6,347.5,332.2,404.3,237.6,293.6,401.2,506.5,475.2,505.9,305.4,148.1,177.3,246.3,225.4,204.3,202.4,
Utilities,Montana,Millions of current dollars,648.9,607.5,662.7,640.2,659.7,613.7,644.4,682.4,677,754.9,809.4,855.8,944.7,987.6,1065,1032.1,1065.1,1074.5,1096.4,1093.6,1098.7,1050.4,1134.4,1136.7,1210.5,
