Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,Nebraska,Millions of current dollars,49819.2,51822.1,53685.2,56527.5,59607.2,61417.3,66402.1,70469.2,74564.5,78813.8,83834.8,85628,86870.4,91561.5,99921.1,102725.9,107260.7,111945.9,116514.6,118145.9,121726.6,127015.5,131866.9,134580.8,146285.4,
Private industries,Nebraska,Millions of current dollars,42776.8,44528.4,46268.1,48867.4,51298,52442.8,57141.4,60935,64763.8,68090.3,73039.4,74325.5,75371,78798.5,87037.6,89627,94146.8,98057.6,102272.5,103288.7,106458,111264.3,115569.4,117524.5,128828.0,
"Agriculture, forestry, fishing and hunting",Nebraska,Millions of current dollars,3321.1,2786.2,2138.9,2101.7,2491.2,2246.5,4014.3,4343.3,4056.4,3321.4,4937.2,5337.1,4910.3,5534.5,9419.9,7536.9,10079.7,8655.2,7875.9,6852.2,5515.7,5671.3,5948.1,6577.5,9613.0,
Farms,Nebraska,Millions of current dollars,3210,2666.7,2017.3,1973.5,2362,2128.1,3907.5,4242.1,3932.4,3147.5,4750.6,5137.4,4695.5,5275.2,9140.8,7230.9,9765.7,8328.8,7552.4,6518.7,5170.5,5316.8,5572.9,6161.2,9213.8,
"Forestry, fishing, and related activities",Nebraska,Millions of current dollars,111.1,119.5,121.6,128.1,129.2,118.3,106.8,101.1,124,173.9,186.7,199.6,214.9,259.4,279,306,314,326.4,323.6,333.5,345.2,354.5,375.2,416.3,399.3,
"Mining, quarrying, and oil and gas extraction",Nebraska,Millions of current dollars,59.2,44.6,76.1,63.1,80.3,108.2,107.5,111.2,133.9,132,212.3,153.5,132.6,184.7,232.7,260.6,221.4,218,197.3,130,155.4,165.2,159.6,192.4,216.7,
Oil and gas extraction,Nebraska,Millions of current dollars,19.6,8.9,8.2,11.2,8.7,8.7,10.7,14.8,21.7,28.9,36.8,40.2,19.7,17.3,16.6,16.6,16.5,17.4,9.1,8,9.8,11.5,9.7,8.1,10.0,
Mining (except oil and gas),Nebraska,Millions of current dollars,29.9,26.8,62,43.2,61.3,91.7,88.4,87.6,102.8,92.4,166.8,103.4,105.5,157.8,204.7,226.2,190.4,182.6,173.2,113.1,127.8,129.2,124.7,141.7,166.3,
Support activities for mining,Nebraska,Millions of current dollars,9.7,9,5.9,8.7,10.3,7.9,8.4,8.8,9.3,10.7,8.8,9.8,7.4,9.6,11.3,17.8,14.4,18,15,8.9,17.9,24.5,25.1,42.7,40.3,
Utilities,Nebraska,Millions of current dollars,644.6,617.7,670.9,675.7,682.5,686.2,638.8,983,575,748.6,1003.7,1405.1,1854.4,2094.5,2539.2,2763.6,2368.7,2205.6,2610.1,3661,3382.3,3218.3,2733.6,2710.9,3412.5,
Construction,Nebraska,Millions of current dollars,2057.9,2233.7,2431.1,2549.8,2558.7,2670.4,2917.8,3175.6,3228.8,3305.1,3676.4,3524.9,3783.3,3665.3,3551.4,3327.5,3536.9,3757.9,4209.7,4383.9,4846.7,5091.2,5636.2,5952.1,6211.4,
Manufacturing,Nebraska,Millions of current dollars,6905.9,6875.2,7256.8,7780.8,7762.4,7394.3,7602.1,7608.8,8263.6,9451.2,9159,9976.8,10269.9,10948.9,12106,12777.3,13233.5,12941.9,12559.5,12351.9,12175.3,13578.2,14752.4,15350.9,16876.4,
Durable goods manufacturing,Nebraska,Millions of current dollars,3601.7,3600,3719.5,4030,3712.1,3767.3,3886.6,4131.1,4367,4514.2,4648.8,4693,3961.8,4493.1,5558.1,5825.4,6350.6,5696.9,5486.2,5258.9,5492.8,5641.5,5977.9,5793.8,6427.6,
