Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,New Jersey,Millions of current dollars,307817.1,319861.3,336064.9,361005.4,373698,386132.5,400984.7,414848.6,435736.7,457593.1,474867.9,496227.2,482458.9,492762.4,495965.8,517195.9,534177.8,542842.8,563233.8,575501,587421,614106.5,637630.4,620085.9,682945.9,
Private industries,New Jersey,Millions of current dollars,275208.1,285968.1,300765.4,323900.6,333936.3,343910.4,356284.2,367480.7,386005.8,406664.1,421075.5,440132.5,424695.9,434521.2,439451.6,460652.4,474893.9,482084.1,501929.3,514821.4,525078.3,549694.2,571425.4,553828.2,614251.9,
"Agriculture, forestry, fishing and hunting",New Jersey,Millions of current dollars,590.3,565.8,526.8,651.1,574.3,596.8,643.3,705.9,700,789.4,812,726.5,737.5,728.9,810,823,800.1,751.6,835.6,851.7,871.6,863.3,989.5,897.8,1011.0,
Farms,New Jersey,Millions of current dollars,432.5,435.8,386.9,491.3,430.1,453.9,498.2,567.3,572.2,642.1,665.4,583.8,558.4,558.6,638.2,632.2,624.9,548.5,601.5,568.8,571.5,549.8,676.3,593.6,685.1,
"Forestry, fishing, and related activities",New Jersey,Millions of current dollars,157.8,130,139.9,159.8,144.3,142.9,145.1,138.7,127.9,147.4,146.7,142.7,179.2,170.4,171.8,190.8,175.1,203.1,234.2,282.9,300.2,313.5,313.3,304.2,325.9,
"Mining, quarrying, and oil and gas extraction",New Jersey,Millions of current dollars,195.5,224.9,231.5,257.8,237.6,212.9,210,262,327.5,330.3,374.2,262.6,304.6,253.1,236.6,278.9,399.8,268.8,348.1,491.4,379.1,349.8,500.7,401.8,519.1,
Oil and gas extraction,New Jersey,Millions of current dollars,3,1.5,1.8,3.4,1.8,4.7,4.2,11.8,28.4,13.2,17,15,34.3,18.4,13.3,13.2,12.3,13.3,15.4,97.1,27.2,19.6,58.4,16.8,18.2,
Mining (except oil and gas),New Jersey,Millions of current dollars,187.4,218.2,225.1,247.9,227,194.6,197.9,242.8,284.6,302.9,347.4,232.5,251.2,217.9,200.9,242.2,360.6,227.8,296.3,346.9,314,289.8,388.2,349.9,469.7,
Support activities for mining,New Jersey,Millions of current dollars,5.1,5.1,4.6,6.4,8.8,13.6,7.9,7.4,14.5,14.1,9.8,15.1,19.1,16.8,22.4,23.4,26.9,27.7,36.3,47.4,37.9,40.3,54.2,35.1,31.3,
Utilities,New Jersey,Millions of current dollars,6712.1,6256.6,6774.6,6079.3,6029.5,5696.7,6167.1,7419.7,7125,7548.6,7884.2,8445.7,9471.1,9498.2,9216.8,8821.5,9680.4,10760,11084.8,9779.4,9452.3,9916.3,9752.3,10551.3,11667.3,
Construction,New Jersey,Millions of current dollars,10573.9,11296.3,12267.8,14061.7,15094.5,15583.9,16011.3,17446,18735.8,19659.8,19855,18530.6,16510.3,14842.1,14881.3,16575.3,17910.4,18891.6,19620.2,19762.9,20122.4,20580.9,21751.8,21115.1,22338.4,
Manufacturing,New Jersey,Millions of current dollars,45033,44140.4,47145,49859.8,48453.5,44994.6,47731.2,45752.1,44904.1,47849,49512.3,53554.6,45866.1,47266.1,44566.2,43527,43665.3,46164.8,45787.9,49680,48709.4,55924.5,57514.1,54701.3,60496.2,
Durable goods manufacturing,New Jersey,Millions of current dollars,13658.9,13924.8,14233.1,16597.2,14854.7,13885.9,14543.3,13871.2,13897.9,14735.8,14733.1,15631.8,14230.1,14367,14122.7,13825.2,14456.5,13979.9,15435.2,16343,17854.3,19733.8,19606.7,18218.5,19377.9,
Wood product manufacturing,New Jersey,Millions of current dollars,211.2,283.1,215.1,262.2,246.9,260.5,268.4,276.4,293,260.2,245.7,231.2,165.6,151.8,134.1,132.2,149.7,134.9,158.4,183.6,205.1,194.8,217.4,220.3,319.8,
Nonmetallic mineral product manufacturing,New Jersey,Millions of current dollars,1126.4,1180.7,1243.1,1435.5,1259.1,1235,1263.6,1250,1393.9,1381.4,1284,1388.3,1134.1,1106,950,1212.8,1232,1121.4,1256.9,1345,1369.4,1652.7,1650.3,1647.9,1782.4,
Primary metal manufacturing,New Jersey,Millions of current dollars,798.1,768.6,736.4,859.2,868.3,758.4,711.1,1047.4,908.6,939.8,691.3,669.1,453.1,526.1,616.4,672.5,570.8,589.9,550.1,576.9,565.5,614.6,636.9,567.1,721.1,
Fabricated metal product manufacturing,New Jersey,Millions of current dollars,2145.2,2163.6,2348,2489,2222.9,2028.2,2055.3,2027.7,2241.5,2292.5,2284.8,2121.3,1970.7,2007.3,1997,1905.2,1949.5,1875.1,1882.9,1974.5,2157.1,2351.5,2635,2120.1,2190.4,
Machinery manufacturing,New Jersey,Millions of current dollars,1700.8,1951,1799.2,1710.3,1581.6,1557.1,1580.2,1486.6,1495.4,1568.7,1631.7,1705,1486.8,1644.4,1706.2,1594.5,1666.4,1624.5,1654.2,1657.4,1938.5,1938.6,2166.4,2017.4,2210.7,
Computer and electronic product manufacturing,New Jersey,Millions of current dollars,3149.5,2904.1,2966.3,4492.5,3425.5,2907.6,3452.7,2932.1,3096.1,3166.5,3656.8,4140.7,3995.6,3922.4,4247.7,3769.1,4066.2,4005.5,4110.1,4274.6,5171,5456.4,5823.6,5499,5925.8,
"Electrical equipment, appliance, and component manufacturing",New Jersey,Millions of current dollars,771.4,631.3,736.9,649.5,598.4,664.7,769.8,902.2,801.8,1106.4,1041.9,1094.2,956.6,947.8,804.6,878.3,995.5,880.8,1172.8,1133.9,1022,1019.4,1076.4,1049.4,1075.6,
"Motor vehicles, bodies and trailers, and parts manufacturing",New Jersey,Millions of current dollars,1218.6,1329.5,1350.1,1509.8,1522,1146,1114.8,802.9,583.3,627.5,494.7,301.9,97.4,136.5,179.7,211,206.2,166.8,224.7,232.5,205,204.7,205.1,196.2,207.4,
Other transportation equipment manufacturing,New Jersey,Millions of current dollars,231.5,239.9,247.6,341.1,313.3,293.8,230.2,235.2,295.9,290.9,341.5,352,314.6,283.1,315.8,303.6,399.7,341.6,387.6,448.4,417.8,412.5,408.5,369.1,441.4,
Furniture and related product manufacturing,New Jersey,Millions of current dollars,392.6,406,412.3,524.5,473.1,482.1,442.2,476,522.8,524.1,484.4,450.9,364.4,332.1,340.6,307.5,335.8,383.8,432.8,452.8,477.1,535.8,617.9,532.5,531.1,
Miscellaneous manufacturing,New Jersey,Millions of current dollars,1913.6,2066.9,2178.2,2323.6,2343.7,2552.6,2654.9,2434.6,2265.5,2577.8,2576.3,3177.3,3291.2,3309.4,2830.6,2838.5,2884.6,2855.6,3604.6,4063.3,4325.9,5352.7,4169.2,3999.4,3972.2,
Nondurable goods manufacturing,New Jersey,Millions of current dollars,31374.1,30215.6,32911.9,33262.6,33598.8,31108.7,33187.9,31880.9,31006.3,33113.3,34779.2,37922.8,31636,32899.1,30443.5,29701.9,29208.8,32184.8,30352.7,33337,30855.1,36190.7,37907.5,36482.8,41118.3,
Food and beverage and tobacco product manufacturing,New Jersey,Millions of current dollars,3911.8,3632,4407,4261.2,3934.4,3947.5,4133.9,4038,3718.2,3651.6,3469.1,3619.2,4227.4,4060.5,3629.7,3809,3741.4,3767.7,4078.8,4466.6,4524.5,4496.3,4850.1,5148.5,5491.5,
Textile mills and textile product mills,New Jersey,Millions of current dollars,765.2,834.7,835,820.6,680.1,664.1,465.5,545.2,489.3,463.5,393.7,383.6,319.8,305,275.6,297.8,299.5,407.3,314.3,351.4,313.1,272.5,341.8,326.1,340.1,
"Apparel, leather, and allied product manufacturing",New Jersey,Millions of current dollars,696.8,632.9,523.5,921.9,702.9,509,475.2,572,521.6,483,437.8,398.6,524.3,353.6,231.3,244.7,268.4,234.1,279,313.1,296.4,261.1,215,179.8,192.6,
Paper manufacturing,New Jersey,Millions of current dollars,1695,1456.9,1705.4,1688.5,1393.8,1182.2,1201.4,1246.9,1148.1,1318.8,1395.6,1250.6,1370.1,1134.9,1120.3,1313.4,1217.2,1131.8,1300.3,1272.7,1203.7,1335.6,1243.4,1227.4,1181.7,
Printing and related support activities,New Jersey,Millions of current dollars,1532.1,1653,1741.9,2013.8,1843.1,1729,1507.2,1731.4,1844.4,1882.7,1952.2,1866.4,1499.6,1487.1,1404.5,1468.2,1437,1389.8,1499.7,1514.6,1476.9,1606.6,1634.5,1391.4,1464.9,
Petroleum and coal products manufacturing,New Jersey,Millions of current dollars,2962.6,2702,3130.6,3890.8,3397.9,2732.8,4499.7,3418.7,3336.6,2892.3,4617.3,7787.8,2097.5,2543.2,3082.5,4404.4,3054,5186.5,3909.9,2181.1,2628.7,7204.4,6634,3170.6,4980.0,
Chemical manufacturing,New Jersey,Millions of current dollars,18179.2,17672.3,18883.2,17945.8,20064.9,18759.5,19412.9,18816.8,18424.2,20977.8,20944.4,21422.2,20326.3,21659,19319.1,16719.1,17846.9,18816.4,17523.2,21699.8,18869.2,19391.7,21268.9,23286.2,25695.0,
Plastics and rubber products manufacturing,New Jersey,Millions of current dollars,1631.4,1631.8,1685.3,1720.1,1581.5,1584.6,1492.1,1511.9,1523.8,1443.6,1569,1194.4,1271,1355.8,1380.5,1445.4,1344.4,1251.1,1447.4,1537.7,1542.7,1622.6,1719.8,1752.8,1772.6,
Wholesale trade,New Jersey,Millions of current dollars,26448.9,28038.5,28812.4,32748.7,31791.6,31198.8,33418.5,34342.1,35768.6,37182.8,39232.5,39891.7,37506.9,39532.1,40822.8,42836.2,44539,46336.4,49068.6,47420.9,48180,50775.5,54724.5,52511.1,61031.0,
Retail trade,New Jersey,Millions of current dollars,19809.2,21397.5,22201.5,24116,24781.3,25970.7,27152.1,27148,27895,28684.7,28926.1,28425.1,27298.7,27827.8,28315.9,28684.2,30129.6,30856.2,32390.3,33174.7,34220.3,35161.4,36493.4,36271.8,43081.7,
Transportation and warehousing,New Jersey,Millions of current dollars,10520,11032,11043.9,11997.4,11513.9,11432.9,11966.3,13063.3,14173.5,15122.6,15046,16179.6,15921.5,17275.1,17346.2,16904,17528.4,17878.3,19514.7,20810.6,22005.3,22993.3,24268.8,18694.3,22997.9,
Air transportation,New Jersey,Millions of current dollars,1413.9,1627.9,1753.6,1837.8,1592.1,1555.6,1743.4,2075.5,2274.4,2461.9,2383.6,2735.6,2949.3,4002.7,4159.3,3596.7,4090.3,4270.8,5005.4,5903.3,5901.3,5834.8,6256.4,1884.8,3020.4,
Rail transportation,New Jersey,Millions of current dollars,139.9,170.1,166.1,162.8,164.1,170.1,174,175.9,185.2,205.7,203.7,243.6,241.7,237.2,262.8,301.7,307.6,343.1,350.5,331.8,339.2,363.7,382.4,309.7,295.0,
Water transportation,New Jersey,Millions of current dollars,639.6,533.6,439.5,477.8,390.9,350,419.6,399,522.2,520,663.8,1039.6,1125.3,1136.4,811.6,760.5,822.7,604,602.7,399.9,529.5,483.5,487.5,280.4,380.3,
Truck transportation,New Jersey,Millions of current dollars,3035.2,3006.7,3215.9,3486.3,3455.6,3424.2,3598.3,3801.3,3874.7,4066.3,3893.4,3730.3,3449.2,3519.7,3684.9,3758.3,3812.8,3919.2,4234,4335.4,4624.4,4887.1,5014.6,4660.9,5671.9,
