Description,GeoName,Unit,,,,,,,,,,,,,,,,,,,,,,,,,,0
All industry total,South Carolina,Millions of current dollars,97425,103456.3,110241.7,115320.6,119478.1,124863.9,131566.5,136982,145403.6,153647.7,162746.3,163886.2,161813.5,165860,172075.1,177618.1,185009.1,194352.7,205816.7,215120.2,223266.7,233251.4,245987.2,245359.5,269802.5,
Private industries,South Carolina,Millions of current dollars,82928.1,88071.7,93662.3,97505.3,101241.3,105637,111210.1,115486,122507.6,129459.3,137270.6,136631.5,134030.8,138105.7,143655.3,148329.9,154814.1,163325.9,173646.6,181780.3,189118.9,198022.7,209327.8,206977.3,229939.7,
"Agriculture, forestry, fishing and hunting",South Carolina,Millions of current dollars,1019.2,855.5,854,1001.4,1118.6,761.3,1108.4,1354.8,1156.8,1143.6,1006.6,1095.8,1121.8,1174.4,1103.3,1166,1437.9,1089.6,1073.3,1050.6,1172.3,1121.4,1017.6,953.7,1378.1,
Farms,South Carolina,Millions of current dollars,744.5,578,571.3,704.8,811.5,463.8,802,1035.7,847.3,753.4,614.8,731.3,759.6,818.2,733.8,794.8,1063.4,675.3,636.3,606.6,718.9,634.5,529.1,448.1,879.1,
"Forestry, fishing, and related activities",South Carolina,Millions of current dollars,274.7,277.4,282.7,296.6,307.1,297.5,306.4,319.1,309.4,390.2,391.8,364.5,362.3,356.2,369.5,371.2,374.5,414.4,437,443.9,453.4,486.8,488.5,505.6,499.0,
"Mining, quarrying, and oil and gas extraction",South Carolina,Millions of current dollars,131.8,159.1,191.1,201.8,173.7,194.4,218.5,275.4,275.9,344.3,266,277.4,265.5,228,236.1,200.6,216,248.3,380.4,393.7,479.8,592.1,613.6,549.2,651.6,
Oil and gas extraction,South Carolina,Millions of current dollars,0.9,0.9,1.3,1,(L),0.1,0.2,0.7,0.5,0.9,0.7,0.5,0.3,0.1,(L),0.5,1.3,0.7,1.5,2,1.3,0.4,0.2,0.6,1.5,
Mining (except oil and gas),South Carolina,Millions of current dollars,129,155.4,185.8,192.3,171.2,192.1,216.1,272.6,273.3,339.2,261.2,273,261.7,222.4,227.5,190.9,206.4,234.2,348.3,377.4,451.7,561.9,576.1,508.8,621.5,
Support activities for mining,South Carolina,Millions of current dollars,1.9,2.8,4,8.5,2.4,2.3,2.1,2,2.2,4.2,4.1,3.9,3.6,5.6,8.6,9.2,8.4,13.4,30.5,14.4,26.7,29.8,37.3,39.7,28.5,
Utilities,South Carolina,Millions of current dollars,2931.9,2829,3062.8,3077.2,3032.1,2946.7,3090.4,3422.8,3487.1,4006,3839,3911.8,4496,5009.4,5163.8,5097.5,5277.4,5584.9,5599.6,5809.5,5789.8,5443.0,5651.6,5441.8,5908.7,
Construction,South Carolina,Millions of current dollars,5309.7,5927.9,6321,6694,6783.1,6823.4,7371,8561.2,9097.7,9806.5,10236.6,9223.6,7602,6504.2,6317.9,6972.3,7536,8230.3,8930.5,9998.9,11256.4,11709.4,12583.9,12490.7,13142.7,
Manufacturing,South Carolina,Millions of current dollars,22038,23192.8,24045.6,24190.1,24889.2,26112.8,27037.9,24203.9,24548.1,25420.7,26490.2,25645.2,25003.7,26451.2,28237.1,29030,29602.9,31036.3,34328.2,35324.8,34369.4,35299.6,38160.4,35346.3,39264.7,
